"sampleId","mean","sd","n","mu0"
"Sample 190",3.42494109757997,2.45217851019309,82,3
"Sample 1900",2.99474484186044,2.62182222813054,82,3
"Sample 1901",3.23561511896216,2.25042381628047,82,3
"Sample 1902",2.89104124059883,2.26561720074607,82,3
"Sample 1903",3.37356742738579,2.78966187217897,82,3
"Sample 1904",3.25485219529326,2.66262989040582,82,3
"Sample 1905",2.80226476753113,2.48341545010355,82,3
"Sample 1906",3.29944242684647,2.47384933788982,82,3
"Sample 1907",2.73577260090706,2.50274707417167,82,3
"Sample 1908",3.30769015699638,2.4476784810369,82,3
"Sample 1909",3.11189034315063,2.55393539194817,82,3
"Sample 191",2.79408790197818,2.16870494773704,82,3
"Sample 1910",3.34005988993623,2.83876735666172,82,3
"Sample 1911",3.03639115162445,2.40982175542585,82,3
"Sample 1912",3.06956355342753,2.381798336173,82,3
"Sample 1913",3.52704686980881,2.22522914150796,82,3
"Sample 1914",3.11247515304855,2.32157794253956,82,3
"Sample 1915",2.86712200067911,2.28729401005516,82,3
"Sample 1916",2.70377077399404,2.78744372121062,82,3
"Sample 1917",3.31820746509836,2.65186244979617,82,3
"Sample 1918",3.06267278386883,2.38999600577807,82,3
"Sample 1919",2.72666398417926,2.4421809678435,82,3
"Sample 192",2.91594884525585,2.49116635701453,82,3
"Sample 1920",2.79979021962536,2.53093460156769,82,3
"Sample 1921",3.49171529975619,2.43269052974504,82,3
"Sample 1922",2.86052128885849,2.5531927718764,82,3
"Sample 1923",2.57770626589524,2.49629341380286,82,3
"Sample 1924",2.90110686763787,2.46425482351949,82,3
"Sample 1925",2.46484572142681,2.30200212064831,82,3
"Sample 1926",3.25300697585207,2.83078741018835,82,3
"Sample 1927",2.9385428148223,2.77470469807955,82,3
"Sample 1928",3.22790505811069,2.73059264747418,82,3
"Sample 1929",2.69120461103067,2.37233744459318,82,3
"Sample 193",3.535607062409,2.81195594851908,82,3
"Sample 1930",2.7663860604351,2.41094972096258,82,3
"Sample 1931",3.10752647938474,2.49863025478457,82,3
"Sample 1932",2.77069624059998,2.78422290847411,82,3
"Sample 1933",3.0321583579825,2.43339636238579,82,3
"Sample 1934",2.85393134819442,2.6271704740696,82,3
"Sample 1935",3.03644046725308,2.54050197931508,82,3
"Sample 1936",2.85043013672867,2.39719402947988,82,3
"Sample 1937",3.18803718286437,2.75211398640146,82,3
"Sample 1938",3.20641424410925,2.32931854942632,82,3
"Sample 1939",2.71231237232811,2.63290243790269,82,3
"Sample 194",3.23423431510392,2.48732698026895,82,3
"Sample 1940",3.34724120559653,2.51291834434457,82,3
"Sample 1941",3.35493267256944,2.51093492463229,82,3
"Sample 1942",3.09903410205271,2.4992539807271,82,3
"Sample 1943",2.88311560297932,2.76810834750233,82,3
"Sample 1944",2.95402508117769,2.75758321080067,82,3
"Sample 1945",3.07286351354629,2.61220632990544,82,3
"Sample 1946",2.57754588101467,2.33458028052653,82,3
"Sample 1947",3.20294863949972,2.65469074940237,82,3
"Sample 1948",2.62828977502842,2.63397345877179,82,3
"Sample 1949",2.63994654521138,2.45597670974241,82,3
"Sample 195",2.94580120095363,2.50713983592102,82,3
"Sample 1950",3.27654201968606,2.41293741038658,82,3
"Sample 1951",2.74964129108405,2.37509026854335,82,3
"Sample 1952",2.93900393388416,2.70515971550589,82,3
"Sample 1953",2.84433880728352,2.90093370753614,82,3
"Sample 1954",2.67918954081862,2.77858949954859,82,3
"Sample 1955",2.83775404039124,2.50179838244304,82,3
"Sample 1956",2.33680405897356,3.12322145004659,82,3
"Sample 1957",2.86513037436279,2.40941692652088,82,3
"Sample 1958",3.19254394130552,2.5862171412583,82,3
"Sample 1959",3.10117479612218,2.61760175431059,82,3
"Sample 196",2.81943289218174,2.51065554498899,82,3
"Sample 1960",2.87652352493759,2.57954212444805,82,3
"Sample 1961",3.25311087535355,2.46022231375944,82,3
"Sample 1962",3.24549317000579,2.52156478525948,82,3
"Sample 1963",3.06599390241267,2.65622533975059,82,3
"Sample 1964",2.88818630361605,2.31938276944178,82,3
"Sample 1965",3.07289249342877,2.24383678263669,82,3
"Sample 1966",3.50117050459111,2.55448455635169,82,3
"Sample 1967",3.04997221232565,2.86482505460397,82,3
"Sample 1968",2.91174247196363,2.5643095661932,82,3
"Sample 1969",3.00850538755743,2.46670312136402,82,3
"Sample 197",3.34412549404767,2.24745891841321,82,3
"Sample 1970",3.29540574508835,2.17070864077619,82,3
"Sample 1971",3.46863484406354,2.6077386418008,82,3
"Sample 1972",2.98441910234173,2.68990083319147,82,3
"Sample 1973",3.2757983013378,2.17241364177045,82,3
"Sample 1974",2.93150325085685,2.4054896547173,82,3
"Sample 1975",3.17404347447826,2.69243903864777,82,3
"Sample 1976",2.82753799367135,2.50518390628784,82,3
"Sample 1977",2.98848753666288,2.77646057560613,82,3
"Sample 1978",3.18531103096958,2.79807789793603,82,3
"Sample 1979",2.92498171986033,2.87656067335106,82,3
"Sample 198",3.13719320793139,2.53971044599212,82,3
"Sample 1980",2.40951059829115,2.65487902676136,82,3
"Sample 1981",3.41241211291005,2.53841205994527,82,3
"Sample 1982",2.55198337652139,2.37345322240347,82,3
"Sample 1983",2.65249330025483,2.48959201251874,82,3
"Sample 1984",3.31167028383726,2.32020848798126,82,3
"Sample 1985",3.45462973139784,2.4797505712962,82,3
"Sample 1986",2.51044178663591,2.50491445622839,82,3
"Sample 1987",3.14915063838766,2.85235073301287,82,3
"Sample 1988",2.95224640721689,2.63149715589795,82,3
"Sample 1989",2.44581617777668,2.55839214798676,82,3
"Sample 199",2.93065062094032,2.63658111535442,82,3
"Sample 1990",3.32290587767225,2.03348950240791,82,3
"Sample 1991",2.46779950967955,2.44324905543731,82,3
"Sample 1992",2.75809862286099,2.64430344752609,82,3
"Sample 1993",3.01556406582837,2.42606387070041,82,3
"Sample 1994",2.94951102621383,2.46713248164012,82,3
"Sample 1995",2.52286875698012,2.51880099789146,82,3
"Sample 1996",3.13300188044348,2.50594884042058,82,3
"Sample 1997",3.00209802903277,2.52221989647532,82,3
"Sample 1998",3.29412581271784,2.76266327508148,82,3
"Sample 1999",2.61992497294672,2.64536337138075,82,3
"Sample 2",2.88514595157195,2.44957973095872,82,3
"Sample 20",3.14985404286969,2.41860767827974,82,3
"Sample 200",3.07234377089069,2.39531359342715,82,3
"Sample 2000",3.01108727784788,2.6739211222768,82,3
"Sample 201",3.23903897129997,2.29915519235761,82,3
"Sample 202",2.77987030251279,2.41345098469584,82,3
"Sample 203",3.01703795680688,2.52748846516356,82,3
"Sample 204",3.03558032457335,2.28849030236134,82,3
"Sample 205",2.67619640002941,2.48297037106735,82,3
"Sample 206",3.15506765432596,2.44810261969384,82,3
"Sample 207",2.6305566678746,2.2360295656957,82,3
"Sample 208",3.1338288596134,2.38586926976468,82,3
"Sample 209",3.30989652194781,2.50927477891673,82,3
"Sample 21",2.90492654248778,2.37459405970121,82,3
"Sample 210",2.66677230425615,2.40621120401524,82,3
"Sample 211",3.5305229847141,2.58472609392674,82,3
"Sample 212",3.1341200962555,2.67322643069662,82,3
"Sample 213",3.23399166741607,1.96741254864299,82,3
"Sample 214",3.5229443508388,2.39868247169009,82,3
"Sample 215",3.1953251251896,2.36147133272316,82,3
"Sample 216",2.88774341175537,2.60291608391823,82,3
"Sample 217",2.94451982378248,2.45986213167938,82,3
"Sample 218",3.21796662122654,2.68450722671398,82,3
"Sample 219",3.33640229944127,2.66725561464472,82,3
"Sample 22",2.9623127540807,2.46262110488557,82,3
"Sample 220",2.6903164145545,2.7786730657526,82,3
"Sample 221",2.99620748409882,2.41266791505739,82,3
"Sample 222",2.78655800921713,2.44440649044631,82,3
"Sample 223",2.88920460982801,2.44539275512561,82,3
"Sample 224",2.61731536787634,2.26796078923569,82,3
"Sample 225",3.16358022504996,2.47463638939084,82,3
"Sample 226",2.86293165919649,2.53211741743963,82,3
"Sample 227",3.21706487833793,2.3937929797672,82,3
"Sample 228",3.16575386842212,2.51143960037856,82,3
"Sample 229",2.87499467443774,2.54433663717811,82,3
"Sample 23",2.88176353124819,2.57252013183069,82,3
"Sample 230",2.79229219487661,2.46716390473658,82,3
"Sample 231",2.49125059639068,2.26495607191447,82,3
"Sample 232",3.41711822092906,2.23840860006036,82,3
"Sample 233",2.63029544361349,2.46822408540006,82,3
"Sample 234",2.64817171003677,2.22356360583596,82,3
"Sample 235",2.87162403534109,2.44249725110829,82,3
"Sample 236",2.58907782011888,2.80574218798226,82,3
"Sample 237",3.06960143994242,2.25221596472093,82,3
"Sample 238",3.21192126081496,2.4766583297656,82,3
"Sample 239",3.11448654730787,2.39821335184028,82,3
"Sample 24",3.20966795002927,2.69747169444733,82,3
"Sample 240",3.02419665827753,2.24217737172634,82,3
"Sample 241",2.6880013712125,2.18918446525276,82,3
"Sample 242",2.49962574011236,2.54176190236921,82,3
"Sample 243",3.04445401503227,2.57084304487339,82,3
"Sample 244",2.91827486661241,2.50470364838116,82,3
"Sample 245",3.39431378316823,2.59691837485061,82,3
"Sample 246",2.81476523651863,2.49284852816539,82,3
"Sample 247",3.14455959122783,2.37312088878134,82,3
"Sample 248",3.20686635163097,2.542613681085,82,3
"Sample 249",2.96718889775273,2.7072139364611,82,3
"Sample 25",3.41251341906213,2.35782137414946,82,3
"Sample 250",3.46242807633067,2.45441237163444,82,3
"Sample 251",3.22728867975579,2.63006278535729,82,3
"Sample 252",3.36270410690256,2.45933676454024,82,3
"Sample 253",2.80158769360331,2.52387923299005,82,3
"Sample 254",2.58677537800675,2.57747862752068,82,3
"Sample 255",2.80049785720961,2.62628645605609,82,3
"Sample 256",3.3824422236032,2.55274793169814,82,3
"Sample 257",3.20157391766298,2.60455947003361,82,3
"Sample 258",3.13393521210216,2.7429496836982,82,3
"Sample 259",3.48611634369077,2.53155615739862,82,3
"Sample 26",3.02167038200155,2.2985626080969,82,3
"Sample 260",2.9837709116608,2.10435015482599,82,3
"Sample 261",2.87765626118844,2.40270631521958,82,3
"Sample 262",3.03973058160272,2.38275872861037,82,3
"Sample 263",3.02845724211313,2.78988958601216,82,3
"Sample 264",3.01770394395876,2.39931327124867,82,3
"Sample 265",2.32541961183857,2.45646167021836,82,3
"Sample 266",2.58610277346536,2.83721622255308,82,3
"Sample 267",3.64817258693689,2.17293568895595,82,3
"Sample 268",3.06324629689043,2.36325696717262,82,3
"Sample 269",2.69659945456564,2.45603022821806,82,3
"Sample 27",3.18538934624661,2.50302596577888,82,3
"Sample 270",3.23741168288991,2.38375979448604,82,3
"Sample 271",2.81698676823171,2.28511787547395,82,3
"Sample 272",3.01863872116609,2.61050248916947,82,3
"Sample 273",3.41421050919474,2.01169076064335,82,3
"Sample 274",3.18263745487981,2.4856681880354,82,3
"Sample 275",3.11897443453418,2.98532370407254,82,3
"Sample 276",2.73472280499494,2.37997774676825,82,3
"Sample 277",2.8757038957172,2.38742386856903,82,3
"Sample 278",3.00614870860154,2.68831704717572,82,3
"Sample 279",3.2128126535549,2.38564429945698,82,3
"Sample 28",2.98735890979088,2.55255227637019,82,3
"Sample 280",3.0519789495868,2.38768897515926,82,3
"Sample 281",3.32281336436027,2.81947844684187,82,3
"Sample 282",2.77160836479926,2.58861949639198,82,3
"Sample 283",2.79004291941358,2.66609120837007,82,3
"Sample 284",3.40004830556895,2.41755078617891,82,3
"Sample 285",3.04502413974738,2.81022792173948,82,3
"Sample 286",3.28726353589851,2.34670993189057,82,3
"Sample 287",3.42944424008746,2.66343003040021,82,3
"Sample 288",3.2375140510235,2.61785190405389,82,3
"Sample 289",2.24735885929507,2.51792291062794,82,3
"Sample 29",2.99790510437403,2.48303130455009,82,3
"Sample 290",3.73901424222206,2.53004392848782,82,3
"Sample 291",2.94859225112985,2.71129306594784,82,3
"Sample 292",2.77097286932176,2.34969037806431,82,3
"Sample 293",3.12914337416721,2.49961194491889,82,3
"Sample 294",2.8667431070531,2.68813688143742,82,3
"Sample 295",3.11817354710621,2.76397298607333,82,3
"Sample 296",3.28904165383021,2.40066738525024,82,3
"Sample 297",3.55778965794825,2.68090098395044,82,3
"Sample 298",3.03061847613516,2.30970883229663,82,3
"Sample 299",3.17366285329177,2.57063400073118,82,3
"Sample 3",3.14453891812066,2.41435276735694,82,3
"Sample 30",2.96755014934725,2.53905130858253,82,3
"Sample 300",2.80879131581825,2.73351439817143,82,3
"Sample 301",3.11195707285534,2.65631879185384,82,3
"Sample 302",2.67699373803783,2.58626322910899,82,3
"Sample 303",2.84010237288335,2.54553485428864,82,3
"Sample 304",3.20682352195705,2.4331570449105,82,3
"Sample 305",3.12955826038932,2.35359120973162,82,3
"Sample 306",2.98060748042399,2.51821250836557,82,3
"Sample 307",2.99519203469909,2.39005459759054,82,3
"Sample 308",3.25532270893104,2.51224716627523,82,3
"Sample 309",2.56873834990086,1.83370113627037,82,3
"Sample 31",3.0313703328406,2.857177506189,82,3
"Sample 310",2.73551884531576,2.73742817462752,82,3
"Sample 311",2.92671037013232,2.52837730320672,82,3
"Sample 312",3.41992252792953,2.47972424185602,82,3
"Sample 313",3.00476811442331,2.41307738754234,82,3
"Sample 314",2.54062807853173,2.50558684661078,82,3
"Sample 315",2.93173572241651,2.73090376148278,82,3
"Sample 316",2.89012074159272,2.60080397576791,82,3
"Sample 317",3.01107601280435,2.60005992398873,82,3
"Sample 318",2.85120687085289,2.38693992524588,82,3
"Sample 319",3.34232835532515,2.6992745745898,82,3
"Sample 32",3.0007538718553,2.58256607648437,82,3
"Sample 320",2.92386417562071,2.28421191371439,82,3
"Sample 321",2.82094115629257,2.53048720133784,82,3
"Sample 322",2.8199603496243,2.31084758183949,82,3
"Sample 323",2.97706027107117,2.46764233714905,82,3
"Sample 324",2.96830601397139,2.37386951949826,82,3
"Sample 325",2.90409167959717,2.48947994573489,82,3
"Sample 326",3.53632969900232,2.45274705358334,82,3
"Sample 327",2.37287745025107,2.45920368214306,82,3
"Sample 328",3.10452359796239,2.48429724558566,82,3
"Sample 329",2.95766625787334,2.35447409885555,82,3
"Sample 33",3.29950129804853,2.01090165930931,82,3
"Sample 330",2.73100041568112,2.68325311661149,82,3
"Sample 331",3.73360726574241,2.43380991653873,82,3
"Sample 332",3.03076253188857,2.46399935454202,82,3
"Sample 333",3.25981764094925,2.57076239963806,82,3
"Sample 334",3.35069747455692,2.45341895626763,82,3
"Sample 335",3.01073434145344,2.79208507311394,82,3
"Sample 336",3.03159926860058,2.81664598474509,82,3
"Sample 337",3.01264622004334,2.48402673533731,82,3
"Sample 338",2.98631457770824,2.48350707598733,82,3
"Sample 339",3.36856251974774,2.55762793784919,82,3
"Sample 34",2.87526248798512,2.72012311631474,82,3
"Sample 340",3.44780095518928,2.18833035755253,82,3
"Sample 341",2.8733018762667,2.75319221634801,82,3
"Sample 342",2.73147686940498,2.51069348121727,82,3
"Sample 343",3.26350886230654,2.44562810000268,82,3
"Sample 344",2.64134704585789,2.3092021142672,82,3
"Sample 345",2.66131877779776,2.51354878912587,82,3
"Sample 346",3.05874447051637,2.51844414987974,82,3
"Sample 347",2.60358563927584,2.25324724989958,82,3
"Sample 348",2.65384653548707,2.77881347321778,82,3
"Sample 349",3.13810752283058,2.15349588325245,82,3
"Sample 35",2.94626906655888,2.53756517521717,82,3
"Sample 350",3.50631574927705,2.57567731149266,82,3
"Sample 351",2.94878903259567,2.68020896153015,82,3
"Sample 352",2.76989351854193,2.3806585107493,82,3
"Sample 353",3.32437574725736,2.55453412456349,82,3
"Sample 354",3.21457610835327,2.55599427665922,82,3
"Sample 355",2.24547157296834,2.80430197867279,82,3
"Sample 356",2.86051292569921,2.44677539166098,82,3
"Sample 357",2.99670597138143,2.39955261578761,82,3
"Sample 358",2.93647292844297,2.62295073773325,82,3
"Sample 359",2.25702292415666,2.36770285740402,82,3
"Sample 36",3.60538421679988,2.40339363884602,82,3
"Sample 360",2.65080926805497,2.42586601192799,82,3
"Sample 361",2.94610216126681,2.4571519361313,82,3
"Sample 362",3.22409058161665,2.39937084460749,82,3
"Sample 363",3.22646885388429,2.65399313939712,82,3
"Sample 364",2.60693240842547,2.52766903868447,82,3
"Sample 365",3.36032287999325,2.66931380217338,82,3
"Sample 366",3.02217362106558,2.51384832967983,82,3
"Sample 367",3.0865510380561,2.5167369051475,82,3
"Sample 368",2.65965958427617,2.57348612974482,82,3
"Sample 369",2.85640466466088,2.46610459089017,82,3
"Sample 37",2.64073336298905,2.12430553497238,82,3
"Sample 370",2.67706571002283,2.32797243649115,82,3
"Sample 371",2.57719190022598,2.51576822819625,82,3
"Sample 372",3.09006975387678,2.70990387865695,82,3
"Sample 373",3.19926136666746,2.17571186230278,82,3
"Sample 374",3.05937408361033,2.66264275120011,82,3
"Sample 375",2.67975757095992,2.0805569309331,82,3
"Sample 376",2.96125453722386,2.4312423668374,82,3
"Sample 377",3.61752342467786,2.51885560186776,82,3
"Sample 378",2.55648120124327,2.67150960683153,82,3
"Sample 379",2.91640179451141,2.76536845353919,82,3
"Sample 38",3.05324765837212,2.10390953377528,82,3
"Sample 380",3.22522941602333,2.24233631491378,82,3
"Sample 381",3.41073258198901,2.38035676706904,82,3
"Sample 382",3.36824316837683,2.23653808578848,82,3
"Sample 383",2.45840992254619,2.60191532570302,82,3
"Sample 384",2.80055825544394,2.49774066679769,82,3
"Sample 385",3.35767328029245,2.46146967374102,82,3
"Sample 386",3.08298339547835,2.79955267746176,82,3
"Sample 387",2.9719345633442,2.40225842838432,82,3
"Sample 388",3.04251788417568,2.71573224654338,82,3
"Sample 389",2.66282666975374,2.52803585858006,82,3
"Sample 39",2.84504315093037,2.43910784749906,82,3
"Sample 390",3.21008290249933,2.44752197483181,82,3
"Sample 391",3.02261133099205,2.27040476356195,82,3
"Sample 392",3.23277008962269,2.37566810701462,82,3
"Sample 393",2.92412684646763,2.35187402728367,82,3
"Sample 394",2.85799384793238,2.65973917272404,82,3
"Sample 395",3.04625293257081,2.72340253933239,82,3
"Sample 396",3.16656784120069,2.33558976112837,82,3
"Sample 397",2.61813490767582,2.70074727574893,82,3
"Sample 398",2.97644460621951,2.49017133337801,82,3
"Sample 399",2.76620851267018,2.29074247581874,82,3
"Sample 4",2.80919653881127,2.07280176825782,82,3
"Sample 40",3.0642230453061,2.14445397903724,82,3
"Sample 400",3.09258979082873,2.77930491596589,82,3
"Sample 401",2.96736325013696,2.60013999617051,82,3
"Sample 402",3.16378909785994,2.32289200025506,82,3
"Sample 403",3.863376188612,2.67612505803027,82,3
"Sample 404",2.85861935863889,2.57730923219106,82,3
"Sample 405",2.70452953157319,2.45403844309277,82,3
"Sample 406",3.0642869143611,2.86147510470112,82,3
"Sample 407",3.16235082851496,2.55925618595836,82,3
"Sample 408",3.02472577888447,2.47094140165974,82,3
"Sample 409",3.2286047100179,2.51763750258984,82,3
"Sample 41",3.18778217840938,2.6260111894071,82,3
"Sample 410",2.89814411259484,2.4389343840205,82,3
"Sample 411",3.06496628599553,2.53899198966381,82,3
"Sample 412",3.34620278673365,2.57351547347045,82,3
"Sample 413",3.38356437735446,2.93161743581535,82,3
"Sample 414",2.69230922132218,2.6779993278074,82,3
"Sample 415",2.881358228342,2.39241572712865,82,3
"Sample 416",3.11393583424216,2.32861755642138,82,3
"Sample 417",2.86216686941587,2.43293361648643,82,3
"Sample 418",3.13036409415985,2.30322453629667,82,3
"Sample 419",2.74577211715412,2.40248631190126,82,3
"Sample 42",2.45374638146691,2.29577631509148,82,3
"Sample 420",2.4258726585895,2.53391481022147,82,3
"Sample 421",3.1178829873034,2.69687282241415,82,3
"Sample 422",2.74173460247248,2.13077938261002,82,3
"Sample 423",3.12810960313508,2.66966031626612,82,3
"Sample 424",3.44122944633894,2.65404026281379,82,3
"Sample 425",3.26576122176252,2.38538175525668,82,3
"Sample 426",2.29982428641467,1.82717896590404,82,3
"Sample 427",3.14325127989054,2.18672738572652,82,3
"Sample 428",3.06970088008936,2.41844227052439,82,3
"Sample 429",2.93825276153735,2.86692593020636,82,3
"Sample 43",3.15104921546418,2.70846209493255,82,3
"Sample 430",2.83583855503565,2.39214550767831,82,3
"Sample 431",2.8123804859782,2.51045517892373,82,3
"Sample 432",2.95958071455432,2.42549918325747,82,3
"Sample 433",2.99229699330884,2.58267998190459,82,3
"Sample 434",3.12839035722411,2.48344015317764,82,3
"Sample 435",3.11616441196372,2.5573736012119,82,3
"Sample 436",2.94964373027661,2.36154978149862,82,3
"Sample 437",3.12730074951362,2.50688441613956,82,3
"Sample 438",2.84424517799897,2.37515813463575,82,3
"Sample 439",3.26234712395223,2.16585611350655,82,3
"Sample 44",3.21031465134868,2.67962458177184,82,3
"Sample 440",2.78056763224524,2.42809451721027,82,3
"Sample 441",2.86504990190808,2.57245754131798,82,3
"Sample 442",2.77801903130478,2.55245998936619,82,3
"Sample 443",2.76678057968199,2.17770197090755,82,3
"Sample 444",3.24155851130384,2.36766742411446,82,3
"Sample 445",2.88903604536725,2.57435710463259,82,3
"Sample 446",2.88908313045792,2.84368301900486,82,3
"Sample 447",2.64306164319544,2.41907483968897,82,3
"Sample 448",3.0729277669793,2.41502274494023,82,3
"Sample 449",2.92702856140895,2.69039868904485,82,3
"Sample 45",2.79314638201884,2.5526464081093,82,3
"Sample 450",2.93744513975402,2.60837181345097,82,3
"Sample 451",2.90318826942681,2.40677989842917,82,3
"Sample 452",2.51759423211866,2.39208679958527,82,3
"Sample 453",3.07236668254234,2.22494057219783,82,3
"Sample 454",3.13179381233498,2.59446367505319,82,3
"Sample 455",2.59026665584343,2.5349982447704,82,3
"Sample 456",2.81492623992744,2.79103811603845,82,3
"Sample 457",2.26705153433582,2.44511263675176,82,3
"Sample 458",2.51160846129581,2.4400480934857,82,3
"Sample 459",2.89402127395399,2.4972108153936,82,3
"Sample 46",2.40335455758412,2.51455069325436,82,3
"Sample 460",2.90529993601264,2.50445027892974,82,3
"Sample 461",2.75580355332224,2.47492694689199,82,3
"Sample 462",3.026076660646,2.38522284162218,82,3
"Sample 463",2.92166527493851,2.40107538061969,82,3
"Sample 464",2.53876856873031,2.39384807556058,82,3
"Sample 465",2.98282996166081,2.50120466981675,82,3
"Sample 466",2.42685714434214,2.39575595293369,82,3
"Sample 467",2.57973041395583,2.94908184682671,82,3
"Sample 468",2.73114647678966,2.47533131745161,82,3
"Sample 469",3.18997465416751,2.2458012882738,82,3
"Sample 47",3.11342170986078,2.43836932819684,82,3
"Sample 470",3.29982225239535,2.74133294637339,82,3
"Sample 471",2.72683366016836,2.00338858450116,82,3
"Sample 472",3.06199894365897,2.45837326789795,82,3
"Sample 473",3.12008461400312,2.16457733069263,82,3
"Sample 474",3.14450201861467,2.42681163123042,82,3
"Sample 475",2.98310841642264,2.53630175291239,82,3
"Sample 476",3.20810303209216,2.54533934387269,82,3
"Sample 477",2.85514889503308,2.43450459680657,82,3
"Sample 478",3.04651012151991,2.64103413692248,82,3
"Sample 479",3.67181056613853,2.57541111909116,82,3
"Sample 48",2.97176314002712,2.24778872554585,82,3
"Sample 480",3.00394236558498,2.57005539927508,82,3
"Sample 481",2.81220806916618,2.75814717580453,82,3
"Sample 482",2.79710580556985,2.51390305582874,82,3
"Sample 483",2.62041870010432,2.73220209959378,82,3
"Sample 484",2.53922515685519,2.27694248616386,82,3
"Sample 485",2.99841715228865,2.18587531061529,82,3
"Sample 486",2.91815850775622,2.38601463722327,82,3
"Sample 487",3.27879962251993,2.64286320787404,82,3
"Sample 488",2.96574973990009,2.60106524705139,82,3
"Sample 489",2.93481677369694,2.65864150225451,82,3
"Sample 49",3.22679796419842,2.48775749099801,82,3
"Sample 490",2.59776053422493,2.52260419747423,82,3
"Sample 491",3.10784633963457,2.41485948405189,82,3
"Sample 492",3.19219692091752,2.54687873045216,82,3
"Sample 493",3.2635051467761,2.40051490736462,82,3
"Sample 494",3.17608198435302,2.33804732754432,82,3
"Sample 495",2.92543323162923,2.36948752585116,82,3
"Sample 496",2.94138765495824,2.18848513354302,82,3
"Sample 497",2.85820994939214,2.82491812340975,82,3
"Sample 498",2.59239362907396,2.33946959102459,82,3
"Sample 499",2.18864615094878,2.52808082301539,82,3
"Sample 5",3.32542418685607,2.7271370926888,82,3
"Sample 50",3.2100376253653,2.31410914873863,82,3
"Sample 500",2.89119132439506,2.5395693127934,82,3
"Sample 501",3.09210772916435,2.46261293405233,82,3
"Sample 502",3.11570717768267,2.8653416006189,82,3
"Sample 503",3.20529713295709,2.85727197634474,82,3
"Sample 504",3.13377381572268,2.60748281602518,82,3
"Sample 505",3.1422656081798,2.71702785392073,82,3
"Sample 506",2.80517551235401,2.50891437721947,82,3
"Sample 507",2.81965407174583,2.27345071385795,82,3
"Sample 508",2.74664899458699,2.92016430771909,82,3
"Sample 509",3.06086366234654,2.62422629270993,82,3
"Sample 51",3.13596028587532,2.48091928027317,82,3
"Sample 510",2.92827828429423,2.69937989417646,82,3
"Sample 511",3.22844124004001,2.30665129629788,82,3
"Sample 512",2.64549758378157,2.60839845234307,82,3
"Sample 513",2.76959732135571,2.25710037099616,82,3
"Sample 514",2.78753494748356,2.38659525650643,82,3
"Sample 515",2.97434425326789,2.76399428772776,82,3
"Sample 516",3.20772431063209,2.6774814637308,82,3
"Sample 517",2.96396696955947,2.50154804637522,82,3
"Sample 518",2.91777334658986,2.27951495088193,82,3
"Sample 519",2.58036780692377,2.43233415795259,82,3
"Sample 52",2.6785630766399,2.18521966942266,82,3
"Sample 520",2.82331611707093,2.50626571089828,82,3
"Sample 521",2.40617520076135,2.35230354470951,82,3
"Sample 522",2.78556041627504,2.34244308309021,82,3
"Sample 523",3.37314374573198,2.34995564596027,82,3
"Sample 524",2.59909250590916,2.6324907625553,82,3
"Sample 525",3.09811208113491,2.29991080683579,82,3
"Sample 526",3.56896272584249,2.65846631181537,82,3
"Sample 527",3.06696050751027,2.76006382145948,82,3
"Sample 528",3.27776601806062,2.40230827121102,82,3
"Sample 529",3.21924870999679,2.26163759903348,82,3
"Sample 53",3.0275915807392,2.38418233876909,82,3
"Sample 530",3.08359115606829,2.39063800696763,82,3
"Sample 531",2.92628192081508,2.69353746785812,82,3
"Sample 532",2.83793987545121,2.38716367416108,82,3
"Sample 533",2.89606099532903,2.27380917222262,82,3
"Sample 534",2.82710014633793,2.0885595944568,82,3
"Sample 535",3.0316715030822,2.58254177862613,82,3
"Sample 536",2.9381699339073,2.61711875588815,82,3
"Sample 537",3.27646293459585,2.3491230753289,82,3
"Sample 538",3.2178700819885,2.56893854401713,82,3
"Sample 539",3.0243272959286,2.15445077975448,82,3
"Sample 54",3.32775191441657,2.12396074423832,82,3
"Sample 540",2.77329975798161,2.42486875409145,82,3
"Sample 541",3.18606279046512,2.43393844491473,82,3
"Sample 542",2.53804597943492,2.29661001344705,82,3
"Sample 543",2.85252177379991,2.81632478645481,82,3
"Sample 544",2.97584222958855,2.47992162581518,82,3
"Sample 545",2.78404459453781,2.74640044702079,82,3
"Sample 546",3.43776783011026,2.38218787375968,82,3
"Sample 547",2.84603869336684,2.80609940706607,82,3
"Sample 548",3.58665800099292,2.41773219679694,82,3
"Sample 549",3.11105029878806,2.22307535501598,82,3
"Sample 55",3.07359765106418,2.54082704011327,82,3
"Sample 550",2.78422331852947,2.42509637463082,82,3
"Sample 551",2.46229257270504,2.0300360296801,82,3
"Sample 552",3.45588376843978,2.71563834416181,82,3
"Sample 553",2.7753684478406,2.3996278656254,82,3
"Sample 554",3.02529112695432,2.15114065171168,82,3
"Sample 555",2.75001143029121,2.5353937253801,82,3
"Sample 556",2.93241305672554,2.64436756725321,82,3
"Sample 557",3.10156174253345,2.27099929091978,82,3
"Sample 558",3.22668394593402,2.21200699720546,82,3
"Sample 559",3.29955790981319,2.48717099261132,82,3
"Sample 56",2.90667392530361,2.93676897300763,82,3
"Sample 560",2.95346605806979,2.58977594439093,82,3
"Sample 561",2.58056093238293,2.16020646348956,82,3
